Articulo,Familia
Aceite girasol,"Aceite, Grasa"
Aceite oliva,"Aceite, Grasa"
Aceite oliva virgen extra,"Aceite, Grasa"
Manteca de cerdo,"Aceite, Grasa"
Mantequilla,"Aceite, Grasa"
Caldo de ave en polvo,Bases cocina
Demi glace en polvo,Bases cocina
Fumet de pescado en polvo,Bases cocina
Brandy cocina,Bebidas
Vino blanco cocina,Bebidas
Vino Oporto,Bebidas
Vino Pedro Ximénez,Bebidas
Vino tinto cocina,Bebidas
Bacon ahumado,"Carnes, Aves, Embutidos"
Cerdo. Cabeza lomo,"Carnes, Aves, Embutidos"
Cerdo. Carrillada,"Carnes, Aves, Embutidos"
Cerdo. Chuletero,"Carnes, Aves, Embutidos"
Cerdo. Guiso,"Carnes, Aves, Embutidos"
Cerdo. Paletilla,"Carnes, Aves, Embutidos"
Cerdo. Panceta,"Carnes, Aves, Embutidos"
Cerdo. Pata ,"Carnes, Aves, Embutidos"
Cerdo. Picada,"Carnes, Aves, Embutidos"
Cerdo. Pierna,"Carnes, Aves, Embutidos"
Cerdo. Riñones,"Carnes, Aves, Embutidos"
Cerdo. Solomillo,"Carnes, Aves, Embutidos"
Cerdo. Tocino de papada,"Carnes, Aves, Embutidos"
Cerdo. Tocino fresco,"Carnes, Aves, Embutidos"
Chorizo guisos,"Carnes, Aves, Embutidos"
Chorizo sarta,"Carnes, Aves, Embutidos"
Cochinillo,"Carnes, Aves, Embutidos"
Codornices,"Carnes, Aves, Embutidos"
Conejo,"Carnes, Aves, Embutidos"
Cordero. Canal pequeño,"Carnes, Aves, Embutidos"
Cordero. Chuletero,"Carnes, Aves, Embutidos"
Cordero. Guiso,"Carnes, Aves, Embutidos"
Cordero. Mollejas,"Carnes, Aves, Embutidos"
Cordero. Paletilla,"Carnes, Aves, Embutidos"
Cordero. Pierna,"Carnes, Aves, Embutidos"
Cordero. Riñones,"Carnes, Aves, Embutidos"
Gallina,"Carnes, Aves, Embutidos"
Jamón cocido,"Carnes, Aves, Embutidos"
Jamón ibérico,"Carnes, Aves, Embutidos"
Jamón serrano,"Carnes, Aves, Embutidos"
Jamón serrano deshuesado,"Carnes, Aves, Embutidos"
Jamón York barra,"Carnes, Aves, Embutidos"
Lacón,"Carnes, Aves, Embutidos"
Lechazo,"Carnes, Aves, Embutidos"
Lomo. Caña,"Carnes, Aves, Embutidos"
Morcilla Burgos,"Carnes, Aves, Embutidos"
Morcilla guiso,"Carnes, Aves, Embutidos"
Paletilla ibérica,"Carnes, Aves, Embutidos"
Panceta,"Carnes, Aves, Embutidos"
Pollo. Carcasas,"Carnes, Aves, Embutidos"
Pollo. Entero limpio,"Carnes, Aves, Embutidos"
Pollo. Higaditos,"Carnes, Aves, Embutidos"
Pollo. Picantón,"Carnes, Aves, Embutidos"
Ternera. Babilla,"Carnes, Aves, Embutidos"
Ternera. Cadera,"Carnes, Aves, Embutidos"
Ternera. Carne guiso,"Carnes, Aves, Embutidos"
Ternera. Costillas,"Carnes, Aves, Embutidos"
Ternera. Falda,"Carnes, Aves, Embutidos"
Ternera. Huesos,"Carnes, Aves, Embutidos"
Ternera. Jarrete,"Carnes, Aves, Embutidos"
Ternera. Ossobuco,"Carnes, Aves, Embutidos"
Ternera. Picada,"Carnes, Aves, Embutidos"
Ternera. Rabo,"Carnes, Aves, Embutidos"
Ternera. Solomillo,"Carnes, Aves, Embutidos"
Ternera. Tapa,"Carnes, Aves, Embutidos"
Agar-agar,"Condim, Espec, Hierbas"
Albahaca,"Condim, Espec, Hierbas"
Azafrán,"Condim, Espec, Hierbas"
Clavo entero,"Condim, Espec, Hierbas"
Comino molido,"Condim, Espec, Hierbas"
Eneldo fresco,"Condim, Espec, Hierbas"
Eneldo seco,"Condim, Espec, Hierbas"
Guindilla larga,"Condim, Espec, Hierbas"
Harina de freir pescado,"Condim, Espec, Hierbas"
Ketchup,"Condim, Espec, Hierbas"
Laurel,"Condim, Espec, Hierbas"
Maizena ,"Condim, Espec, Hierbas"
Mayonesa,"Condim, Espec, Hierbas"
Mostaza a la antigua,"Condim, Espec, Hierbas"
Mostaza amarilla corriente,"Condim, Espec, Hierbas"
Mostaza de Dijon,"Condim, Espec, Hierbas"
Nuez moscada entera,"Condim, Espec, Hierbas"
Nuez moscada molida,"Condim, Espec, Hierbas"
Ñoras,"Condim, Espec, Hierbas"
Orégano,"Condim, Espec, Hierbas"
Pimentón dulce,"Condim, Espec, Hierbas"
Pimentón picante,"Condim, Espec, Hierbas"
Pimienta blanca molida,"Condim, Espec, Hierbas"
Pimienta negra en grano,"Condim, Espec, Hierbas"
Pimienta negra molida,"Condim, Espec, Hierbas"
Pimientos choriceros pulpa,"Condim, Espec, Hierbas"
Sal fina,"Condim, Espec, Hierbas"
Sal gorda marina,"Condim, Espec, Hierbas"
Sal Maldon,"Condim, Espec, Hierbas"
Salsa de soja,"Condim, Espec, Hierbas"
Salsa Worcestershire,"Condim, Espec, Hierbas"
Tabasco,"Condim, Espec, Hierbas"
Trufa de verano (Tuber aestivum),"Condim, Espec, Hierbas"
Vinagre,"Condim, Espec, Hierbas"
Vinagre de Jerez,"Condim, Espec, Hierbas"
Vinagre de Módena,"Condim, Espec, Hierbas"
Aceitunas manzanilla,Conservas
Aceitunas negras,Conservas
Aceitunas negras deshuesadas,Conservas
Alcaparras,Conservas
Anchoas,Conservas
Atún en lata,Conservas
Boletus secos,Conservas
Caviar sucedáneo rojo,Conservas
Espárragos blancos lata,Conservas
Espárragos puntas blancos lata,Conservas
Espárragos tallos blancos lata,Conservas
Espárragos trigueros lata,Conservas
Guisantes lata,Conservas
Huevas de lumpo,Conservas
Huevas de salmón,Conservas
Pepinillos en vinagre,Conservas
Pimiento morrón lata,Conservas
Pimiento piquillo lata,Conservas
Setas secas. Mezcla,Conservas
Tomate entero lata de 1 kg,Conservas
Tomate entero lata de 5 kg,Conservas
Tomate frito lata,Conservas
Tomate triturado lata de 1 kg,Conservas
Tomate triturado lata de 5 kg,Conservas
Bandejas cartón,Consumibles
Barquetas,Consumibles
Blondas papel rectangulares,Consumibles
Blondas papel redondas,Consumibles
Bolsas de vacío,Consumibles
Brochetas de madera,Consumibles
Cargas sifón,Consumibles
Cuerda de bridar,Consumibles
Mangas desechables grandes,Consumibles
Mangas desechables pequeñas,Consumibles
Palillos redondos largos,Consumibles
Palilos redondos,Consumibles
Papel horno,Consumibles
Servilleta papel,Consumibles
Almendra cruda entera repelada,"Frutas, Frutos secos"
Almendra granillo,"Frutas, Frutos secos"
Avellana repelada entera cruda,"Frutas, Frutos secos"
Castañas,"Frutas, Frutos secos"
Limones,"Frutas, Frutos secos"
Manzana golden,"Frutas, Frutos secos"
Manzana granny smith verde,"Frutas, Frutos secos"
Manzana starking,"Frutas, Frutos secos"
Nueces peladas crudas mitades,"Frutas, Frutos secos"
Orejones,"Frutas, Frutos secos"
Pasas de corinto,"Frutas, Frutos secos"
Piñones,"Frutas, Frutos secos"
Pistacho iraní entero,"Frutas, Frutos secos"
Ajo,Hortalizas
Apio verde,Hortalizas
Cebollas,Hortalizas
Cebollas rojas,Hortalizas
Cebolleta,Hortalizas
Cebollino,Hortalizas
Cebollitas francesas,Hortalizas
Chalotas,Hortalizas
Champiñones frescos,Hortalizas
Espinacas congeladas,Hortalizas
Guisantes congelados,Hortalizas
Habas congeladas,Hortalizas
